Relations not resolved
System.ComponentModel.PropertyChangingEventArgs 1 occurrences
System.ComponentModel.PropertyChangingEventHandler 1 occurrences
System.ComponentModel.PropertyDescriptor 3 occurrences
System.ComponentModel.PropertyDescriptorCollection 1 occurrences
System.ComponentModel.TypeConverter 7 occurrences
System.ComponentModel.TypeConverterAttribute 1 occurrences
System.ComponentModel.TypeDescriptor 6 occurrences
System.ComponentModel.WarningException 2 occurrences
System.ComponentModel.Win32Exception 6 occurrences
System.Configuration.ApplicationSettingsBase 1 occurrences
System.Configuration.Assemblies.AssemblyHashAlgorithm 1 occurrences
System.Configuration.Assemblies.AssemblyVersionCompatibility 1 occurrences
System.Configuration.Configuration 2 occurrences
System.Configuration.ConfigurationElement 10 occurrences
System.Configuration.ConfigurationElementCollection 5 occurrences
System.Configuration.ConfigurationElementCollectionType 3 occurrences
System.Configuration.ConfigurationErrorsException 4 occurrences
System.Configuration.ConfigurationException 4 occurrences
System.Configuration.ConfigurationManager 4 occurrences
System.Configuration.ConfigurationProperty 2 occurrences
System.Configuration.ConfigurationPropertyCollection 2 occurrences
System.Configuration.ConfigurationSection 3 occurrences
System.Configuration.ElementInformation 3 occurrences
System.Configuration.ExeConfigurationFileMap 1 occurrences
System.Configuration.SectionInformation 1 occurrences
System.Configuration.SettingsBase 1 occurrences
System.Console 15 occurrences
System.ConsoleColor 2 occurrences
System.ContextBoundObject 1 occurrences
System.Convert 34 occurrences
System.Converter`2 2 occurrences
System.Data.Common.DbConnection 1 occurrences
System.Data.DataRow 1 occurrences
System.DateTime 118 occurrences
System.DateTimeKind 6 occurrences
System.DateTimeOffset 13 occurrences
System.DayOfWeek 1 occurrences
System.Decimal 16 occurrences
System.Delegate 50 occurrences
System.Diagnostics.CodeAnalysis.SuppressMessageAttribute 1 occurrences
System.Diagnostics.DataReceivedEventArgs 1 occurrences
System.Diagnostics.DataReceivedEventHandler 1 occurrences
System.Diagnostics.Debugger 3 occurrences
System.Diagnostics.DebuggerDisplayAttribute 1 occurrences
System.Diagnostics.DebuggerNonUserCodeAttribute 1 occurrences
System.Diagnostics.DefaultTraceListener 1 occurrences
System.Diagnostics.EventLog 1 occurrences
System.Diagnostics.EventLogEntryType 1 occurrences
System.Diagnostics.EventSourceCreationData 1 occurrences
System.Diagnostics.FileVersionInfo 2 occurrences
System.Diagnostics.PresentationTraceSources 1 occurrences
System.Diagnostics.Process 20 occurrences
System.Diagnostics.ProcessModule 1 occurrences
System.Diagnostics.ProcessStartInfo 5 occurrences
System.Diagnostics.SourceLevels 1 occurrences
System.Diagnostics.SourceSwitch 2 occurrences
System.Diagnostics.StackFrame 1 occurrences
System.Diagnostics.StackTrace 1 occurrences
System.Diagnostics.Stopwatch 3 occurrences
System.Diagnostics.SymbolStore.ISymbolDocumentWriter 2 occurrences
System.Diagnostics.SymbolStore.ISymbolWriter 1 occurrences
System.Diagnostics.SymbolStore.SymAddressKind 2 occurrences
System.Diagnostics.SymbolStore.SymbolToken 4 occurrences
System.Diagnostics.SymbolStore.SymDocumentType 1 occurrences
System.Diagnostics.Trace 10 occurrences
System.Diagnostics.TraceEventType 1 occurrences
System.Diagnostics.TraceListener 2 occurrences
System.Diagnostics.TraceListenerCollection 2 occurrences
System.Diagnostics.TraceSource 2 occurrences
System.Diagnostics.Tracing.EventSource 25 occurrences
System.Diagnostics.Tracing.EventSource/EventData 1 occurrences
System.DllNotFoundException 1 occurrences
System.Double 82 occurrences
System.Dynamic.DynamicObject 1 occurrences
System.Dynamic.GetMemberBinder 1 occurrences
System.Dynamic.SetMemberBinder 1 occurrences
System.EntryPointNotFoundException 1 occurrences
System.Enum 297 occurrences
System.Environment 106 occurrences
System.EventArgs 25 occurrences
System.EventHandler 17 occurrences
System.EventHandler`1 15 occurrences
System.Exception 289 occurrences
System.FormatException 16 occurrences
System.FormattableString 2 occurrences
System.Func`1 65 occurrences
System.Func`2 148 occurrences
System.Func`3 46 occurrences
System.Func`4 2 occurrences
System.Func`5 1 occurrences
System.Func`6 1 occurrences
System.GC 22 occurrences
System.Globalization.CharUnicodeInfo 2 occurrences
System.Globalization.CompareInfo 7 occurrences
System.Globalization.CultureInfo 176 occurrences
System.Globalization.DateTimeFormatInfo 1 occurrences
System.Globalization.NumberFormatInfo 3 occurrences
System.Globalization.NumberStyles 1 occurrences
System.Globalization.TextInfo 1 occurrences
System.Globalization.UnicodeCategory 2 occurrences
System.Guid 79 occurrences
System.IAsyncResult 128 occurrences
System.ICloneable 2 occurrences
System.IComparable 11 occurrences
System.IComparable`1 3 occurrences
System.IConvertible 1 occurrences
System.IDisposable 553 occurrences
System.IEquatable`1 31 occurrences
System.IFormatProvider 6 occurrences
System.IFormattable 2 occurrences
System.IndexOutOfRangeException 5 occurrences
System.Int16 62 occurrences
System.Int32 1532 occurrences
System.Int64 111 occurrences
System.IntPtr 195 occurrences
System.InvalidCastException 6 occurrences
System.InvalidOperationException 112 occurrences
System.IO.BinaryReader 42 occurrences
System.IO.BinaryWriter 38 occurrences
System.IO.Compression.GZipStream 2 occurrences
System.IO.Compression.ZipArchive 3 occurrences
System.IO.Compression.ZipArchiveEntry 3 occurrences
System.IO.Compression.ZipFile 2 occurrences
System.IO.Directory 61 occurrences
System.IO.DirectoryInfo 15 occurrences
System.IO.DirectoryNotFoundException 3 occurrences
System.IO.EndOfStreamException 3 occurrences
System.IO.File 82 occurrences
System.IO.FileAccess 9 occurrences
System.IO.FileAttributes 13 occurrences
System.IO.FileInfo 49 occurrences
System.IO.FileLoadException 4 occurrences
System.IO.FileMode 11 occurrences
System.IO.FileNotFoundException 9 occurrences
System.IO.FileShare 8 occurrences
System.IO.FileStream 46 occurrences
System.IO.FileSystemInfo 49 occurrences
System.IO.InvalidDataException 1 occurrences
System.IO.IOException 22 occurrences
System.IO.MemoryStream 21 occurrences
System.IO.Path 178 occurrences
System.IO.PathTooLongException 3 occurrences
System.IO.Pipes.NamedPipeClientStream 1 occurrences
System.IO.Pipes.NamedPipeServerStream 1 occurrences
System.IO.Pipes.PipeAccessRule 1 occurrences
System.IO.Pipes.PipeSecurity 1 occurrences
System.IO.Pipes.PipeStream 3 occurrences
System.IO.Pipes.PipeStreamImpersonationWorker 1 occurrences
System.IO.SearchOption 7 occurrences
System.IO.SeekOrigin 1 occurrences
System.IO.Stream 113 occurrences
System.IO.StreamReader 24 occurrences
System.IO.StreamWriter 21 occurrences
System.IO.StringReader 16 occurrences
System.IO.StringWriter 5 occurrences
System.IO.TextReader 36 occurrences
System.IO.TextWriter 31 occurrences
System.IO.UnmanagedMemoryStream 3 occurrences
System.IProgress`1 28 occurrences
System.IServiceProvider 2 occurrences
System.Lazy`1 35 occurrences
System.Linq.Enumerable 226 occurrences
System.Linq.Expressions.BinaryExpression 3 occurrences
System.Linq.Expressions.ConditionalExpression 2 occurrences
System.Linq.Expressions.ConstantExpression 12 occurrences
System.Linq.Expressions.ElementInit 2 occurrences
System.Linq.Expressions.Expression 60 occurrences
System.Linq.Expressions.Expression`1 7 occurrences
System.Linq.Expressions.ExpressionType 4 occurrences
System.Linq.Expressions.ExpressionVisitor 8 occurrences
System.Linq.Expressions.InvocationExpression 3 occurrences
System.Linq.Expressions.LambdaExpression 13 occurrences
System.Linq.Expressions.ListInitExpression 2 occurrences
System.Linq.Expressions.MemberAssignment 3 occurrences
System.Linq.Expressions.MemberBinding 3 occurrences
System.Linq.Expressions.MemberBindingType 2 occurrences
System.Linq.Expressions.MemberExpression 12 occurrences
System.Linq.Expressions.MemberInitExpression 3 occurrences
System.Linq.Expressions.MemberListBinding 2 occurrences
System.Linq.Expressions.MemberMemberBinding 2 occurrences
System.Linq.Expressions.MethodCallExpression 14 occurrences
System.Linq.Expressions.NewArrayExpression 5 occurrences
System.Linq.Expressions.NewExpression 3 occurrences
System.Linq.Expressions.ParameterExpression 35 occurrences
System.Linq.Expressions.TypeBinaryExpression 2 occurrences
System.Linq.Expressions.UnaryExpression 7 occurrences
System.Linq.IGrouping`2 2 occurrences
System.Linq.IOrderedEnumerable`1 1 occurrences
System.Linq.IQueryable 2 occurrences
System.Linq.IQueryable`1 1 occurrences
System.Linq.IQueryProvider 1 occurrences
System.Linq.ParallelEnumerable 2 occurrences
System.Linq.Queryable 5 occurrences
System.MarshalByRefObject 21 occurrences
System.Math 53 occurrences
System.MemberAccessException 1 occurrences
System.MethodAccessException 1 occurrences
System.MissingFieldException 2 occurrences
System.MissingMethodException 4 occurrences
System.MulticastDelegate 128 occurrences
System.Net.Http.Headers.ContentDispositionHeaderValue 1 occurrences
System.Net.Http.Headers.HttpContentHeaders 1 occurrences
System.Net.Http.HttpContent 1 occurrences
System.Net.Http.HttpMessageHandler 1 occurrences
System.Net.Http.HttpRequestException 2 occurrences
System.Net.Http.HttpRequestMessage 1 occurrences
System.Net.Http.HttpResponseMessage 1 occurrences
System.Net.HttpStatusCode 2 occurrences
System.Net.Mail.MailMessage 2 occurrences
System.Net.Mail.SendCompletedEventHandler 1 occurrences
System.Net.Mail.SmtpClient 1 occurrences
System.Net.NetworkCredential 1 occurrences
System.Net.WebException 1 occurrences
System.Net.WebExceptionStatus 1 occurrences
System.NotImplementedException 41 occurrences
System.NotSupportedException 92 occurrences
System.Nullable 2 occurrences
System.Nullable`1 162 occurrences
System.NullReferenceException 2 occurrences
System.Object 2002 occurrences
System.ObjectDisposedException 9 occurrences
System.OperatingSystem 3 occurrences
System.OperationCanceledException 2 occurrences
System.OutOfMemoryException 2 occurrences
System.OverflowException 1 occurrences
System.ParamArrayAttribute 1 occurrences
System.PlatformNotSupportedException 1 occurrences
System.Predicate`1 18 occurrences
System.Progress`1 2 occurrences
System.Random 3 occurrences
System.Reflection.AmbiguousMatchException 4 occurrences
System.Reflection.Assembly 98 occurrences
System.Reflection.AssemblyFileVersionAttribute 1 occurrences
System.Reflection.AssemblyInformationalVersionAttribute 1 occurrences
System.Reflection.AssemblyName 42 occurrences
System.Reflection.AssemblyNameFlags 1 occurrences
System.Reflection.BindingFlags 11 occurrences
System.Reflection.CallingConventions 1 occurrences
System.Reflection.ConstructorInfo 27 occurrences
System.Reflection.CustomAttributeData 2 occurrences
System.Reflection.CustomAttributeExtensions 11 occurrences
System.Reflection.CustomAttributeFormatException 1 occurrences
System.Reflection.CustomAttributeNamedArgument 1 occurrences
System.Reflection.CustomAttributeTypedArgument 2 occurrences
System.Reflection.Emit.AssemblyBuilder 4 occurrences
System.Reflection.Emit.ConstructorBuilder 4 occurrences
System.Reflection.Emit.CustomAttributeBuilder 8 occurrences
System.Reflection.Emit.EventBuilder 1 occurrences
System.Reflection.Emit.FieldBuilder 3 occurrences
System.Reflection.Emit.GenericTypeParameterBuilder 6 occurrences
System.Reflection.Emit.ILGenerator 47 occurrences
System.Reflection.Emit.Label 3 occurrences
System.Reflection.Emit.LocalBuilder 4 occurrences
System.Reflection.Emit.MethodBuilder 6 occurrences
System.Reflection.Emit.ModuleBuilder 3 occurrences
System.Reflection.Emit.OpCode 5 occurrences
System.Reflection.Emit.OpCodes 30 occurrences
System.Reflection.Emit.ParameterBuilder 2 occurrences
System.Reflection.Emit.PropertyBuilder 2 occurrences
System.Reflection.Emit.StackBehaviour 1 occurrences
System.Reflection.Emit.TypeBuilder 15 occurrences
System.Reflection.EventAttributes 3 occurrences
System.Reflection.EventInfo 7 occurrences
System.Reflection.FieldAttributes 3 occurrences
System.Reflection.FieldInfo 40 occurrences
System.Reflection.GenericParameterAttributes 1 occurrences
System.Reflection.ICustomAttributeProvider 1 occurrences
System.Reflection.InterfaceMapping 4 occurrences
System.Reflection.IntrospectionExtensions 97 occurrences
System.Reflection.InvalidFilterCriteriaException 1 occurrences
System.Reflection.MemberInfo 109 occurrences
System.Reflection.MethodAttributes 7 occurrences
System.Reflection.MethodBase 81 occurrences
System.Reflection.MethodInfo 148 occurrences
System.Reflection.Missing 1 occurrences
System.Reflection.Module 8 occurrences
System.Reflection.ParameterAttributes 1 occurrences
System.Reflection.ParameterInfo 26 occurrences
System.Reflection.ParameterModifier 2 occurrences
System.Reflection.ProcessorArchitecture 15 occurrences
System.Reflection.PropertyAttributes 3 occurrences
System.Reflection.PropertyInfo 39 occurrences
System.Reflection.ReflectionTypeLoadException 3 occurrences
System.Reflection.RuntimeReflectionExtensions 9 occurrences
System.Reflection.StrongNameKeyPair 11 occurrences
System.Reflection.TargetException 2 occurrences
System.Reflection.TargetInvocationException 15 occurrences
System.Reflection.TargetParameterCountException 1 occurrences
System.Reflection.TypeAttributes 5 occurrences
System.Reflection.TypeInfo 13 occurrences
System.ResolveEventArgs 5 occurrences
System.ResolveEventHandler 5 occurrences
System.Resources.IResourceReader 3 occurrences
System.Resources.IResourceWriter 9 occurrences
System.Resources.MissingManifestResourceException 1 occurrences
System.Resources.NeutralResourcesLanguageAttribute 1 occurrences
System.Resources.ResourceManager 28 occurrences
System.Resources.ResourceReader 1 occurrences
System.Resources.ResourceSet 1 occurrences
System.Resources.ResourceWriter 1 occurrences
System.Resources.ResXDataNode 2 occurrences
System.Resources.ResXFileRef 1 occurrences
System.Resources.ResXResourceReader 3 occurrences
System.Resources.ResXResourceWriter 1 occurrences
System.Resources.UltimateResourceFallbackLocation 1 occurrences
System.Runtime.CompilerServices.AsyncTaskMethodBuilder 11 occurrences
System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1 9 occurrences
System.Runtime.CompilerServices.AsyncVoidMethodBuilder 1 occurrences
System.Runtime.CompilerServices.CallSite 1 occurrences
System.Runtime.CompilerServices.CallSite`1 1 occurrences
System.Runtime.CompilerServices.CompilerGeneratedAttribute 2 occurrences
System.Runtime.CompilerServices.ConfiguredTaskAwaitable 3 occurrences
System.Runtime.CompilerServices.ConfiguredTaskAwaitable/ConfiguredTaskAwaiter 3 occurrences
System.Runtime.CompilerServices.ExtensionAttribute 1 occurrences
System.Runtime.CompilerServices.FormattableStringFactory 2 occurrences
System.Runtime.CompilerServices.IAsyncStateMachine 3 occurrences
System.Runtime.CompilerServices.ICriticalNotifyCompletion 7 occurrences
System.Runtime.CompilerServices.INotifyCompletion 7 occurrences
System.Runtime.CompilerServices.InternalsVisibleToAttribute 1 occurrences
System.Runtime.CompilerServices.RuntimeHelpers 39 occurrences
System.Runtime.CompilerServices.StateMachineAttribute 1 occurrences
System.Runtime.CompilerServices.StrongBox`1 2 occurrences
System.Runtime.CompilerServices.TaskAwaiter 6 occurrences
System.Runtime.CompilerServices.TaskAwaiter`1 4 occurrences
System.Runtime.ExceptionServices.ExceptionDispatchInfo 5 occurrences
System.Runtime.Hosting.ActivationArguments 1 occurrences
System.Runtime.InteropServices.CharSet 1 occurrences
System.Runtime.InteropServices.COMException 9 occurrences
System.Runtime.InteropServices.ComImportAttribute 1 occurrences
System.Runtime.InteropServices.ComTypes.DISPPARAMS 1 occurrences
System.Runtime.InteropServices.ComTypes.ELEMDESC 1 occurrences
System.Runtime.InteropServices.ComTypes.FILETIME 3 occurrences
System.Runtime.InteropServices.ComTypes.FUNCDESC 2 occurrences
System.Runtime.InteropServices.ComTypes.IMoniker 2 occurrences
System.Runtime.InteropServices.ComTypes.IMPLTYPEFLAGS 1 occurrences
System.Runtime.InteropServices.ComTypes.INVOKEKIND 1 occurrences
System.Runtime.InteropServices.ComTypes.IRunningObjectTable 2 occurrences
System.Runtime.InteropServices.ComTypes.IStream 1 occurrences
System.Runtime.InteropServices.ComTypes.ITypeComp 1 occurrences
System.Runtime.InteropServices.ComTypes.ITypeInfo 2 occurrences
System.Runtime.InteropServices.ComTypes.ITypeLib 7 occurrences
System.Runtime.InteropServices.ComTypes.ITypeLib2 2 occurrences
System.Runtime.InteropServices.ComTypes.SYSKIND 1 occurrences
System.Runtime.InteropServices.ComTypes.TYPEATTR 2 occurrences
System.Runtime.InteropServices.ComTypes.TYPEDESC 1 occurrences
System.Runtime.InteropServices.ComTypes.TYPELIBATTR 10 occurrences
System.Runtime.InteropServices.ComTypes.VARDESC 2 occurrences
System.Runtime.InteropServices.ExporterEventKind 1 occurrences
System.Runtime.InteropServices.ExternalException 2 occurrences
System.Runtime.InteropServices.GCHandle 5 occurrences
System.Runtime.InteropServices.GuidAttribute 2 occurrences
System.Runtime.InteropServices.HandleRef 2 occurrences
System.Runtime.InteropServices.ImporterEventKind 1 occurrences
System.Runtime.InteropServices.ITypeLibConverter 1 occurrences
System.Runtime.InteropServices.ITypeLibExporterNotifySink 1 occurrences
System.Runtime.InteropServices.ITypeLibImporterNotifySink 1 occurrences
System.Runtime.InteropServices.LIBFLAGS 1 occurrences
System.Runtime.InteropServices.Marshal 36 occurrences
System.Runtime.InteropServices.MarshalAsAttribute 1 occurrences
System.Runtime.InteropServices.OSPlatform 3 occurrences
